Restaurent name,Cuisine types,Rating,Price,Distance,Location,what_people_like_about_us,textual_features
SardarG's BiryaniZ,"Biryani, North Indian",4.1,₹300 for two,7.6,"Vijay Nagar, Indore","Extensive Mocktail Menu, Comfortable Seating, Inviting Decor","Biryani, North IndianExtensive Mocktail Menu, Comfortable Seating, Inviting Decor₹300 for two4.1"
The Blue Plate,"North Indian, Salad, Chinese, Oriental, Continental, Italian, Desserts, Beverages",4.2,"₹1,000 for two",7.5,"By Pass Road (South), Indore","Fresh Ingredients, Consistent Quality, Exquisite Taste","North Indian, Salad, Chinese, Oriental, Continental, Italian, Desserts, BeveragesFresh Ingredients, Consistent Quality, Exquisite Taste₹1,000 for two4.2"
Xero Degrees,"Cafe, Coffee, Beverages, Italian, Pizza, Sandwich, Fast Food, Desserts",-,"₹1,000 for two",4.2,"Press Complex, Indore","Authentic Flavors, Trendy Setting, Main Course","Cafe, Coffee, Beverages, Italian, Pizza, Sandwich, Fast Food, DessertsAuthentic Flavors, Trendy Setting, Main Course₹1,000 for two-"
Havana Cafe Bar,"Continental, North Indian",-,"₹1,500 for two",4.9,"Press Complex, Indore","Live Sports Screening, Seasonal Menu, Hospitable Staff","Continental, North IndianLive Sports Screening, Seasonal Menu, Hospitable Staff₹1,500 for two-"
11:11 Coffee,"Cafe, Coffee, Fast Food, Desserts, Shake, Beverages",4.1,₹500 for two,1.8,"South Tukoganj, Indore","Flavorful Creations, Sustainable Practices, Hospitable Staff","Cafe, Coffee, Fast Food, Desserts, Shake, BeveragesFlavorful Creations, Sustainable Practices, Hospitable Staff₹500 for two4.1"
Mid Flight Garden Restaurant & Cafe,"North Indian, Kebab, Chinese, Salad, Desserts, Beverages",3.8,₹800 for two,4.4,"Airport Road, Indore","Flavorful Creations, Courteous Staff, Cozy Ambiance","North Indian, Kebab, Chinese, Salad, Desserts, BeveragesFlavorful Creations, Courteous Staff, Cozy Ambiance₹800 for two3.8"
Shree Guru Kripa,"North Indian, Chinese, Street Food, Fast Food, Desserts",-,₹300 for two,2.1,"Sarwate Bus Stand, Indore","Quantity, Courteous Staff, Breakfast","North Indian, Chinese, Street Food, Fast Food, DessertsQuantity, Courteous Staff, Breakfast₹300 for two-"
Diablo,"North Indian, Italian, Continental, Arabian, Biryani, Desserts, Beverages",4.1,"₹3,500 for two",3.0,"Old Palasia, Indore","Fresh Ingredients, Peaceful Ambience, Friendly Staff","North Indian, Italian, Continental, Arabian, Biryani, Desserts, BeveragesFresh Ingredients, Peaceful Ambience, Friendly Staff₹3,500 for two4.1"
Venky's Chicken Xperience,"Fast Food, Burger, North Indian",3.3,₹550 for two,5.5,"Vijay Nagar, Indore","Vintage Decor, Quantity, Breakfast","Fast Food, Burger, North IndianVintage Decor, Quantity, Breakfast₹550 for two3.3"
Nature's Kitchen,"Chinese, Salad, North Indian, Continental, Fast Food, Desserts, Beverages",3.3,"₹1,000 for two",5.0,"Vijay Nagar, Indore","Attentive Service, Weekend Brunch, Great Service","Chinese, Salad, North Indian, Continental, Fast Food, Desserts, BeveragesAttentive Service, Weekend Brunch, Great Service₹1,000 for two3.3"
Cafe Kono,"Sandwich, Fast Food, Momos, Burger, Beverages, Sichuan",4.1,₹400 for two,3.0,"Sapna Sangeeta, Indore","Breakfast, Inviting Decor, Ambience","Sandwich, Fast Food, Momos, Burger, Beverages, SichuanBreakfast, Inviting Decor, Ambience₹400 for two4.1"
The Social Platter,"Sandwich, Fast Food, Street Food, North Indian, Beverages",3.9,₹300 for two,3.9,"Press Complex, Indore","Well-priced Options, Efficient Service, Cafe","Sandwich, Fast Food, Street Food, North Indian, BeveragesWell-priced Options, Efficient Service, Cafe₹300 for two3.9"
Citron The Lounge Bar -  Hotel Essentia,"Bar Food, North Indian",-,"₹2,200 for two",5.1,"By Pass Road (North), Indore","Vintage Decor, Good Bartenders, Warm Atmosphere","Bar Food, North IndianVintage Decor, Good Bartenders, Warm Atmosphere₹2,200 for two-"
Zoca Cafe,"Cafe, Coffee, Chinese, Pasta, Fast Food, Momos, Shake, Beverages",3.9,₹700 for two,3.9,"Sudama Nagar, Indore","Perfect Place, Cafe, Hospitality","Cafe, Coffee, Chinese, Pasta, Fast Food, Momos, Shake, BeveragesPerfect Place, Cafe, Hospitality₹700 for two3.9"
Binge On Burgers,"Burger, Sandwich, Fast Food, Beverages",4.2,₹600 for two,5.3,"Annapurna Road, Indore","Creative Cuisine, Great for Dates, Perfect Place","Burger, Sandwich, Fast Food, BeveragesCreative Cuisine, Great for Dates, Perfect Place₹600 for two4.2"
De Brasserie Cafe & Bakery,"Cafe, Bakery",3.6,₹600 for two,6.6,"Vijay Nagar, Indore","Authentic Flavors, Delicious Food, Creative Cuisine","Cafe, BakeryAuthentic Flavors, Delicious Food, Creative Cuisine₹600 for two3.6"
Shree Gurukripa Hotel Sarwate,"North Indian, Chinese, Desserts, Beverages, Biryani",4.1,"₹1,100 for two",1.8,"Sarwate Bus Stand, Indore","Warm Atmosphere, Hospitable Staff, Flavorful Creations","North Indian, Chinese, Desserts, Beverages, BiryaniWarm Atmosphere, Hospitable Staff, Flavorful Creations₹1,100 for two4.1"
OVENLY By Khurana's - Since 1991,"Bakery, Desserts, Sandwich, Pizza, Fast Food, Shake",3.3,₹400 for two,2.6,"New Palasia, Indore","Satisfying Portions, Perfect Place, Breakfast","Bakery, Desserts, Sandwich, Pizza, Fast Food, ShakeSatisfying Portions, Perfect Place, Breakfast₹400 for two3.3"
Casa Boho,"Coffee, Fast Food",2.8,₹500 for two,6.5,"By Pass Road (South), Indore","Breakfast, Cafe, Staff","Coffee, Fast FoodBreakfast, Cafe, Staff₹500 for two2.8"
Hotel Sonash By Golden Treat,"North Indian, Chinese, Biryani, Desserts, Beverages",4.0,"₹1,000 for two",4.1,"Bhawar Kuan, Indore","Cafe, Delicious Food, Ambience","North Indian, Chinese, Biryani, Desserts, BeveragesCafe, Delicious Food, Ambience₹1,000 for two4.0"
Ratna Raj,"Rajasthani, North Indian",3.6,₹400 for two,2.7,"New Palasia, Indore","Creative Cuisine, Main Course, Exquisite Taste","Rajasthani, North IndianCreative Cuisine, Main Course, Exquisite Taste₹400 for two3.6"
Cafe Kono,"Sandwich, Burger, Pizza, Pasta, Chinese, Street Food, Shake, Beverages",4.0,₹400 for two,6.7,"By Pass Road (South), Indore","Perfect Place, Well-priced Options, Sophisticated","Sandwich, Burger, Pizza, Pasta, Chinese, Street Food, Shake, BeveragesPerfect Place, Well-priced Options, Sophisticated₹400 for two4.0"
Playotel Premier,"North Indian, Oriental, Continental, Desserts, Beverages",3.9,"₹1,000 for two",5.9,"Vijay Nagar, Indore","Local Sourcing, Delicious Food, Innovative Dishes","North Indian, Oriental, Continental, Desserts, BeveragesLocal Sourcing, Delicious Food, Innovative Dishes₹1,000 for two3.9"
The Crush Coffee,"Fast Food, Beverages",3.7,₹300 for two,10.7,"Rau, Indore","Satisfying Portions, Good Bartenders, Ambiance","Fast Food, BeveragesSatisfying Portions, Good Bartenders, Ambiance₹300 for two3.7"
Hotel Rajhans Dal Bafle,North Indian,3.7,₹400 for two,3.1,"Old Palasia, Indore","Diverse Menu, Extensive Mocktail Menu, Breakfast","North IndianDiverse Menu, Extensive Mocktail Menu, Breakfast₹400 for two3.7"
Panchavati Gaurav,"North Indian, Rajasthani, Desserts",4.0,₹800 for two,4.4,"Malhar Mega Mall, Vijay Nagar, Indore","Brewed Beer, Hospitality, Memorable Experience","North Indian, Rajasthani, DessertsBrewed Beer, Hospitality, Memorable Experience₹800 for two4.0"
Aloha - Silvotel,"Chinese, North Indian, Kebab, Salad, Rolls, Sandwich, Desserts, Beverages",3.8,₹700 for two,4.7,"Vijay Nagar, Indore","Comfortable Seating, Impeccable Presentation, Warm Atmosphere","Chinese, North Indian, Kebab, Salad, Rolls, Sandwich, Desserts, BeveragesComfortable Seating, Impeccable Presentation, Warm Atmosphere₹700 for two3.8"
The Eyry,"Cafe, Italian, Mexican, North Indian, Chinese, Fast Food, Desserts, Beverages",4.0,"₹1,200 for two",2.4,"New Palasia, Indore","Peaceful Ambience, Satisfying Portions, Efficient Service","Cafe, Italian, Mexican, North Indian, Chinese, Fast Food, Desserts, BeveragesPeaceful Ambience, Satisfying Portions, Efficient Service₹1,200 for two4.0"
Haldiram's Restaurant,"North Indian, Chinese, South Indian, Street Food, Desserts, Continental, Beverages",2.6,₹450 for two,4.3,"Vijay Nagar, Indore","Perfect Place, Sustainable Practices, Efficient Service","North Indian, Chinese, South Indian, Street Food, Desserts, Continental, BeveragesPerfect Place, Sustainable Practices, Efficient Service₹450 for two2.6"
Jail - The Indorii Cafe,"Sandwich, Pizza, Pasta, North Indian, Chinese, Momos, Desserts, Beverages",4.2,₹800 for two,3.7,"Navlakha, Indore","Fresh Ingredients, Diverse Menu, Hospitable Staff","Sandwich, Pizza, Pasta, North Indian, Chinese, Momos, Desserts, BeveragesFresh Ingredients, Diverse Menu, Hospitable Staff₹800 for two4.2"
Mad'ouk,"Chinese, Thai",3.4,"₹1,000 for two",6.7,"By Pass Road (North), Indore","Weekend Brunch, Inviting Decor, Friendly Staff","Chinese, ThaiWeekend Brunch, Inviting Decor, Friendly Staff₹1,000 for two3.4"
Bakerywala,"Bakery, South Indian, Fast Food, Chinese, Street Food, Desserts, Shake, Beverages",4.2,₹350 for two,5.7,"Vijay Nagar, Indore","Innovative Dishes, Authentic Flavors, Cafe","Bakery, South Indian, Fast Food, Chinese, Street Food, Desserts, Shake, BeveragesInnovative Dishes, Authentic Flavors, Cafe₹350 for two4.2"
The Egg Eatery - Eggstremely Delicious,"Street Food, North Indian",3.7,₹400 for two,5.1,"Vijay Nagar, Indore","Hospitality, Efficient Service, Well-priced Options","Street Food, North IndianHospitality, Efficient Service, Well-priced Options₹400 for two3.7"
Shreeleela Restaurant,"North Indian, Chinese, Desserts",3.4,"₹1,000 for two",5.7,"Vijay Nagar, Indore","Hospitality, Efficient Service, Cafe","North Indian, Chinese, DessertsHospitality, Efficient Service, Cafe₹1,000 for two3.4"
Kitchen Sensation,"North Indian, Chinese, Beverages",3.8,"₹1,000 for two",2.8,"New Palasia, Indore","Ambiance, Well-priced Options, Breakfast","North Indian, Chinese, BeveragesAmbiance, Well-priced Options, Breakfast₹1,000 for two3.8"
10 Downing Street,"Continental, Bar Food, Desserts",4.2,"₹2,500 for two",4.4,"Malhar Mega Mall, Vijay Nagar, Indore","Exquisite Taste, Quantity, Cozy Ambiance","Continental, Bar Food, DessertsExquisite Taste, Quantity, Cozy Ambiance₹2,500 for two4.2"
Shree Shyam Restaurant,"North Indian, Fast Food, Chinese",New,₹300 for two,3.8,"Geeta Bhavan, Indore","Hospitality, Efficient Service, Sustainable Practices","North Indian, Fast Food, ChineseHospitality, Efficient Service, Sustainable Practices₹300 for twoNew"
Karim's - Original From Jama Masjid Delhi 6,"Mughlai, North Indian, Rolls, Biryani, Kebab",3.7,"₹1,000 for two",4.5,"Vijay Nagar, Indore","Innovative Dishes, Authentic Flavors, Quantity","Mughlai, North Indian, Rolls, Biryani, KebabInnovative Dishes, Authentic Flavors, Quantity₹1,000 for two3.7"
Krushers.In,"Burger, Rolls, Street Food",3.3,₹200 for two,1.9,"RNT Marg, Indore","Perfect Place, Diverse Menu, Extensive Mocktail Menu","Burger, Rolls, Street FoodPerfect Place, Diverse Menu, Extensive Mocktail Menu₹200 for two3.3"
New Rohit Chinese Point,"Chinese, Street Food",3.4,₹250 for two,2.9,"Airport Road, Indore","Comfortable Seating, Variety of Beer, Ambiance","Chinese, Street FoodComfortable Seating, Variety of Beer, Ambiance₹250 for two3.4"
Chatori Chachi,"Fast Food, Street Food, Maharashtrian, South Indian, Beverages, Sandwich",3.8,₹300 for two,3.5,"Old Palasia, Indore","Exquisite Taste, Creative Cuisine, Attentive Service","Fast Food, Street Food, Maharashtrian, South Indian, Beverages, SandwichExquisite Taste, Creative Cuisine, Attentive Service₹300 for two3.8"
Hotel South Avenue,"North Indian, Mughlai, Continental, South Indian, Fast Food, Chinese, Desserts, Beverages",4.3,"₹1,000 for two",2.4,"South Tukoganj, Indore","Hospitality, Comfortable Seating, Satisfying Portions","North Indian, Mughlai, Continental, South Indian, Fast Food, Chinese, Desserts, BeveragesHospitality, Comfortable Seating, Satisfying Portions₹1,000 for two4.3"
Tonic 93 Restobar,"North Indian, Mughlai, Biryani, Sandwich, Pizza",3.6,"₹1,000 for two",7.0,"By Pass Road (North), Indore","Great Service, Impeccable Presentation, Courteous Staff","North Indian, Mughlai, Biryani, Sandwich, PizzaGreat Service, Impeccable Presentation, Courteous Staff₹1,000 for two3.6"
Hungry Baghira,"Healthy Food, Chinese, North Indian, Seafood, Fast Food, Mughlai, Wraps, Beverages",4.2,₹550 for two,4.4,"Press Complex, Indore","Delicious Food, Diverse Menu, Ambience","Healthy Food, Chinese, North Indian, Seafood, Fast Food, Mughlai, Wraps, BeveragesDelicious Food, Diverse Menu, Ambience₹550 for two4.2"
Khichdi Nation,North Indian,4.1,₹500 for two,6.7,"By Pass Road (North), Indore","Good Music, Delicious Food, Weekend Brunch","North IndianGood Music, Delicious Food, Weekend Brunch₹500 for two4.1"
Burger Farm,"Burger, Fast Food, Beverages",3.7,₹300 for two,3.6,"Bhawar Kuan, Indore","Good Music, Weekend Brunch, Inviting Decor","Burger, Fast Food, BeveragesGood Music, Weekend Brunch, Inviting Decor₹300 for two3.7"
Mud Oven,"Cafe, Coffee, Beverages, North Indian, Asian, Continental, Italian, Desserts",4.1,₹800 for two,13.5,"Rau, Indore","Staff, Cafe, Friendly Staff","Cafe, Coffee, Beverages, North Indian, Asian, Continental, Italian, DessertsStaff, Cafe, Friendly Staff₹800 for two4.1"
Starbucks Coffee,"Cafe, Coffee, Fast Food, Desserts",3.1,₹600 for two,4.6,"Vijay Nagar, Indore","Delicious Food, Authentic Flavors, Extensive Mocktail Menu","Cafe, Coffee, Fast Food, DessertsDelicious Food, Authentic Flavors, Extensive Mocktail Menu₹600 for two3.1"
Kukdu Kuu Club,"North Indian, Mughlai, Chinese, Seafood, Biryani",3.7,₹800 for two,5.5,"BCM Heights, Vijay Nagar, Indore","Extensive Mocktail Menu, Comfortable Seating, Consistent Quality","North Indian, Mughlai, Chinese, Seafood, BiryaniExtensive Mocktail Menu, Comfortable Seating, Consistent Quality₹800 for two3.7"
Fresh Serve Restaurant And Banquets,"North Indian, Pizza, Chinese, Fast Food, Desserts, Coffee, Shake, Beverages",4.1,"₹1,000 for two",5.4,"Vijay Nagar, Indore","Ambience, Breakfast, Innovative Dishes","North Indian, Pizza, Chinese, Fast Food, Desserts, Coffee, Shake, BeveragesAmbience, Breakfast, Innovative Dishes₹1,000 for two4.1"
Amigos Café And Restaurant,"Pizza, Sandwich, Fast Food, Chinese, Street Food, Shake, Beverages",3.8,₹400 for two,4.7,"Khajrana, Indore","Inviting Decor, Extensive Mocktail Menu, Peaceful Ambience","Pizza, Sandwich, Fast Food, Chinese, Street Food, Shake, BeveragesInviting Decor, Extensive Mocktail Menu, Peaceful Ambience₹400 for two3.8"
The Sukoon Cafe,"Sandwich, Pizza, Fast Food, Momos, Street Food, Coffee, Shake, Beverages",3.9,₹300 for two,3.7,"Navlakha, Indore","Hospitable Staff, Staff, Ambiance","Sandwich, Pizza, Fast Food, Momos, Street Food, Coffee, Shake, BeveragesHospitable Staff, Staff, Ambiance₹300 for two3.9"
Bake N Shake,"Cafe, Bakery, North Indian, Chinese, Continental, Sandwich, Fast Food, Beverages",4.2,₹850 for two,5.2,"BCM Heights, Vijay Nagar, Indore","Satisfying Portions, Sustainable Practices, Impeccable Presentation","Cafe, Bakery, North Indian, Chinese, Continental, Sandwich, Fast Food, BeveragesSatisfying Portions, Sustainable Practices, Impeccable Presentation₹850 for two4.2"
Enrise By Sayaji,North Indian,3.4,"₹1,000 for two",14.3,"Rau, Indore","Sophisticated, Sustainable Practices, Vintage Decor","North IndianSophisticated, Sustainable Practices, Vintage Decor₹1,000 for two3.4"
McDonald's,"Burger, Fast Food, Beverages",4.0,₹400 for two,3.5,"Bhawar Kuan, Indore","Flavorful Creations, Peaceful Ambience, Great Service","Burger, Fast Food, BeveragesFlavorful Creations, Peaceful Ambience, Great Service₹400 for two4.0"
Bapu Ki Kutia,"North Indian, Salad, Desserts, Beverages",3.9,"₹1,000 for two",5.7,"Vijay Nagar, Indore","Ambiance, Cozy Ambiance, Courteous Staff","North Indian, Salad, Desserts, BeveragesAmbiance, Cozy Ambiance, Courteous Staff₹1,000 for two3.9"
Dutt Guru Kripa,"North Indian, Chinese, Fast Food, Desserts, Beverages",3.8,₹800 for two,2.1,"South Tukoganj, Indore","Courteous Staff, Perfect Place, Impeccable Presentation","North Indian, Chinese, Fast Food, Desserts, BeveragesCourteous Staff, Perfect Place, Impeccable Presentation₹800 for two3.8"
54 Praangan - Indore Marriott Hotel,"Awadhi, North Indian, Mughlai, Biryani, Desserts, Beverages",4.2,"₹3,500 for two",4.2,"Indore Marriott Hotel, Vijay Nagar, Indore","Sophisticated, Inviting Decor, Local Sourcing","Awadhi, North Indian, Mughlai, Biryani, Desserts, BeveragesSophisticated, Inviting Decor, Local Sourcing₹3,500 for two4.2"
Shree Gurukripa,"North Indian, Chinese, Desserts, Beverages",3.7,"₹1,000 for two",5.6,"Vijay Nagar, Indore","Satisfying Portions, Inviting Decor, Efficient Service","North Indian, Chinese, Desserts, BeveragesSatisfying Portions, Inviting Decor, Efficient Service₹1,000 for two3.7"
Tinku's,"Sandwich, Pizza, Burger, Fast Food, Chinese, Street Food, Coffee, Beverages",3.9,₹400 for two,3.7,"Bhawar Kuan, Indore","Great for Dates, Attentive Service, Cafe","Sandwich, Pizza, Burger, Fast Food, Chinese, Street Food, Coffee, BeveragesGreat for Dates, Attentive Service, Cafe₹400 for two3.9"
Capers - Hotel Effotel,"North Indian, Chinese, Continental, Mediterranean, Salad, Mughlai, Desserts, Beverages",4.6,"₹2,000 for two",5.5,"Hotel Effotel, Vijay Nagar, Indore","Exquisite Taste, Seasonal Menu, Innovative Dishes","North Indian, Chinese, Continental, Mediterranean, Salad, Mughlai, Desserts, BeveragesExquisite Taste, Seasonal Menu, Innovative Dishes₹2,000 for two4.6"
Tandoor Restaurant,"North Indian, Mughlai, Chinese, Kebab, Biryani",4.1,"₹1,300 for two",3.7,"Bhawar Kuan, Indore","Diverse Menu, Courteous Staff, Inviting Decor","North Indian, Mughlai, Chinese, Kebab, BiryaniDiverse Menu, Courteous Staff, Inviting Decor₹1,300 for two4.1"
Manbhavan - Premium Veg Thali,"North Indian, Gujarati",3.8,₹500 for two,2.1,"Hotel Princes' Palace, South Tukoganj, Indore","Attentive Service, Well-priced Options, Sophisticated","North Indian, GujaratiAttentive Service, Well-priced Options, Sophisticated₹500 for two3.8"
CBC Cafe,"Sandwich, Pizza, Pasta, Burger, Fast Food, Street Food, Shake, Beverages",3.2,₹300 for two,3.9,"Bhawar Kuan, Indore","Vintage Decor, Courteous Staff, Ambiance","Sandwich, Pizza, Pasta, Burger, Fast Food, Street Food, Shake, BeveragesVintage Decor, Courteous Staff, Ambiance₹300 for two3.2"
Shosha Cafebar,"North Indian, Mexican, Italian, Chinese, Fast Food, Thai, Desserts, Beverages",3.9,"₹1,500 for two",4.6,"Vijay Nagar, Indore","Staff, Great for Dates, Delicious Food","North Indian, Mexican, Italian, Chinese, Fast Food, Thai, Desserts, BeveragesStaff, Great for Dates, Delicious Food₹1,500 for two3.9"
Madhuram Cafe & Restaurant,"Fast Food, Sandwich",3.2,₹350 for two,1.3,"Bombay Bazaar, Indore","Impeccable Presentation, Trendy Setting, Live Sports Screening","Fast Food, SandwichImpeccable Presentation, Trendy Setting, Live Sports Screening₹350 for two3.2"
Dripco - Speciality Coffee Brewers,"Coffee, Shake, Tea, Beverages",3.9,₹400 for two,4.5,"Vijay Nagar, Indore","Innovative Dishes, Live Sports Screening, Courteous Staff","Coffee, Shake, Tea, BeveragesInnovative Dishes, Live Sports Screening, Courteous Staff₹400 for two3.9"
Chick-N-Serve,"Fast Food, Lebanese, Arabian",3.1,₹400 for two,2.8,"56 Dukan, New Palasia, Indore","Clean Environment, Warm Atmosphere, Delicious Food","Fast Food, Lebanese, ArabianClean Environment, Warm Atmosphere, Delicious Food₹400 for two3.1"
The Arab Nama,"Arabian, Mandi, North Indian, Mughlai",3.9,"₹1,000 for two",4.0,"Old Palasia, Indore","Variety of Beer, Exquisite Taste, Inviting Decor","Arabian, Mandi, North Indian, MughlaiVariety of Beer, Exquisite Taste, Inviting Decor₹1,000 for two3.9"
Hotel Surya,"North Indian, Mughlai, Chinese, Continental, Biryani, Sandwich, Desserts, Beverages",4.2,"₹1,500 for two",2.3,"Hotel Surya, South Tukoganj, Indore","Brewed Beer, Young Crowd, Inviting Decor","North Indian, Mughlai, Chinese, Continental, Biryani, Sandwich, Desserts, BeveragesBrewed Beer, Young Crowd, Inviting Decor₹1,500 for two4.2"
Krozzon By Masters Bakery,"Cafe, Coffee, Beverages, Bakery, Fast Food, Pizza, Sandwich, Desserts",3.7,₹600 for two,6.6,"Vijay Nagar, Indore","Young Crowd, Great Service, Warm Atmosphere","Cafe, Coffee, Beverages, Bakery, Fast Food, Pizza, Sandwich, DessertsYoung Crowd, Great Service, Warm Atmosphere₹600 for two3.7"
The Richie Rich Resto & Cafe,"North Indian, South Indian, Chinese, Pizza, Burger, Fast Food, Desserts, Beverages",3.6,"₹1,000 for two",8.5,"Rajendra Nagar, Indore","Courteous Staff, Ambiance, Staff","North Indian, South Indian, Chinese, Pizza, Burger, Fast Food, Desserts, BeveragesCourteous Staff, Ambiance, Staff₹1,000 for two3.6"
Hat's Off,"North Indian, Mughlai, Kebab, Chinese, Biryani",3.9,"₹1,200 for two",6.0,"Vijay Nagar, Indore","Comfortable Seating, Efficient Service, Attentive Service","North Indian, Mughlai, Kebab, Chinese, BiryaniComfortable Seating, Efficient Service, Attentive Service₹1,200 for two3.9"
Food Fantasy,"North Indian, Chinese, Biryani, Sandwich, Burger, Rolls, Fast Food, Beverages",4.2,₹550 for two,4.6,"Vijay Nagar, Indore","Ambience, Great for Dates, Hospitable Staff","North Indian, Chinese, Biryani, Sandwich, Burger, Rolls, Fast Food, BeveragesAmbience, Great for Dates, Hospitable Staff₹550 for two4.2"
Skyline Club & Resorts,"North Indian, Mughlai, Chinese, Continental, Pasta, Kebab, Biryani",3.0,"₹1,200 for two",10.2,"By Pass Road (South), Indore","Well-priced Options, Perfect Place, Live Sports Screening","North Indian, Mughlai, Chinese, Continental, Pasta, Kebab, BiryaniWell-priced Options, Perfect Place, Live Sports Screening₹1,200 for two3.0"
Tic Tac Toe,"North Indian, Fast Food",4.3,"₹3,800 for two",5.2,"Vijay Nagar, Indore","Flavorful Creations, Warm Atmosphere, Fresh Ingredients","North Indian, Fast FoodFlavorful Creations, Warm Atmosphere, Fresh Ingredients₹3,800 for two4.3"
House Of Pita,"Middle Eastern, Turkish, Fast Food, Pizza, Continental",3.8,₹300 for two,6.7,"By Pass Road (South), Indore","Authentic Flavors, Extensive Mocktail Menu, Hospitable Staff","Middle Eastern, Turkish, Fast Food, Pizza, ContinentalAuthentic Flavors, Extensive Mocktail Menu, Hospitable Staff₹300 for two3.8"
The Homey Rolls,"Rolls, North Indian, Healthy Food, Biryani, Beverages, Finger Food",4.3,₹450 for two,2.8,"New Palasia, Indore","Friendly Staff, Diverse Menu, Staff","Rolls, North Indian, Healthy Food, Biryani, Beverages, Finger FoodFriendly Staff, Diverse Menu, Staff₹450 for two4.3"
Chemistry The Cafe Lounge,"Cafe, Coffee, Shake, Beverages, Fast Food, Ice Cream, Desserts, Burger",3.5,₹500 for two,5.2,"Vijay Nagar, Indore","Fresh Ingredients, Main Course, Quantity","Cafe, Coffee, Shake, Beverages, Fast Food, Ice Cream, Desserts, BurgerFresh Ingredients, Main Course, Quantity₹500 for two3.5"
Orange Paradise,"North Indian, Fast Food",-,₹300 for two,4.5,"Airport Road, Indore","Variety of Beer, Cozy Ambiance, Consistent Quality","North Indian, Fast FoodVariety of Beer, Cozy Ambiance, Consistent Quality₹300 for two-"
Rajkamal Dal Bafle,North Indian,4.0,₹200 for two,1.8,"Sarwate Bus Stand, Indore","Breakfast, Friendly Staff, Great Service","North IndianBreakfast, Friendly Staff, Great Service₹200 for two4.0"
Maa Ki Rasoi,"North Indian, South Indian, Chinese, Kebab, Sandwich, Fast Food, Biryani, Beverages",4.0,₹700 for two,5.3,"Sudama Nagar, Indore","Sustainable Practices, Diverse Menu, Customizable Dishes","North Indian, South Indian, Chinese, Kebab, Sandwich, Fast Food, Biryani, BeveragesSustainable Practices, Diverse Menu, Customizable Dishes₹700 for two4.0"
Alav,"North Indian, Chinese, Kebab, Biryani, Sandwich, Ice Cream, Desserts, Beverages",3.9,₹700 for two,2.9,"New Palasia, Indore","Staff, Peaceful Ambience, Variety of Beer","North Indian, Chinese, Kebab, Biryani, Sandwich, Ice Cream, Desserts, BeveragesStaff, Peaceful Ambience, Variety of Beer₹700 for two3.9"
Nom! Nom! Chinese,"Chinese, Asian, Thai, Seafood, Beverages, Continental, Fast Food, Desserts",4.3,"₹1,000 for two",5.5,"Vijay Nagar, Indore","Well-priced Options, Fresh Ingredients, Good Music","Chinese, Asian, Thai, Seafood, Beverages, Continental, Fast Food, DessertsWell-priced Options, Fresh Ingredients, Good Music₹1,000 for two4.3"
Cafe Igloo,"North Indian, Fast Food",New,₹300 for two,4.1,"Old Palasia, Indore","Impeccable Presentation, Efficient Service, Satisfying Portions","North Indian, Fast FoodImpeccable Presentation, Efficient Service, Satisfying Portions₹300 for twoNew"
We Desi,"North Indian, Mughlai, Rolls, Fast Food, Biryani, Chinese, Street Food, Beverages",4.0,₹550 for two,5.5,"Vijay Nagar, Indore","Great Service, Diverse Menu, Customizable Dishes","North Indian, Mughlai, Rolls, Fast Food, Biryani, Chinese, Street Food, BeveragesGreat Service, Diverse Menu, Customizable Dishes₹550 for two4.0"
Mishri Sweets,Mithai,4.2,₹250 for two,5.0,"Vijay Nagar, Indore","Consistent Quality, Ambiance, Cafe","MithaiConsistent Quality, Ambiance, Cafe₹250 for two4.2"
Rajendra Singh's Retro Kitchen,North Indian,-,"₹1,000 for two",7.9,"By Pass Road (North), Indore","Memorable Experience, Great for Dates, Staff","North IndianMemorable Experience, Great for Dates, Staff₹1,000 for two-"
Oakaz - Cafe and Restaurant,"Sandwich, Burger, Pizza, Fast Food, Chinese, North Indian, Beverages",3.2,"₹1,200 for two",2.8,"South Tukoganj, Indore","Perfect Place, Courteous Staff, Diverse Menu","Sandwich, Burger, Pizza, Fast Food, Chinese, North Indian, BeveragesPerfect Place, Courteous Staff, Diverse Menu₹1,200 for two3.2"
Karnawat Bhojan Prasadi,"North Indian, South Indian, Chinese, Sandwich, Pizza, Fast Food, Shake, Beverages",2.9,₹300 for two,3.3,"Airport Road, Indore","Friendly Staff, Good Bartenders, Satisfying Portions","North Indian, South Indian, Chinese, Sandwich, Pizza, Fast Food, Shake, BeveragesFriendly Staff, Good Bartenders, Satisfying Portions₹300 for two2.9"
Hotel Madni Darbar,"North Indian, Maharashtrian, Mughlai, Chinese",4.0,₹500 for two,1.7,"Sarwate Bus Stand, Indore","Weekend Brunch, Friendly Staff, Clean Environment","North Indian, Maharashtrian, Mughlai, ChineseWeekend Brunch, Friendly Staff, Clean Environment₹500 for two4.0"
Cilantro,"North Indian, Asian",3.1,"₹1,200 for two",7.5,"Vijay Nagar, Indore","Breakfast, Flavorful Creations, Peaceful Ambience","North Indian, AsianBreakfast, Flavorful Creations, Peaceful Ambience₹1,200 for two3.1"
